'Elapsed time','V5'
0.483,-0.315
0.486,-0.310
0.489,-0.310
0.492,-0.325
0.494,-0.330
0.497,-0.325
0.500,-0.315
0.503,-0.305
0.506,-0.305
0.508,-0.290
0.511,-0.290
0.514,-0.275
0.517,-0.270
0.519,-0.245
0.522,-0.240
0.525,-0.250
0.528,-0.250
0.531,-0.235
0.533,-0.220
0.536,-0.195
0.539,-0.190
0.542,-0.190
0.544,-0.190
0.547,-0.180
0.550,-0.160
0.553,-0.145
0.556,-0.150
0.558,-0.160
0.561,-0.160
0.564,-0.155
0.567,-0.145
0.569,-0.140
0.572,-0.160
0.575,-0.150
0.578,-0.175
0.581,-0.170
0.583,-0.160
0.586,-0.160
0.589,-0.150
0.592,-0.155
0.594,-0.160
0.597,-0.170
0.600,-0.155
0.603,-0.155
0.606,-0.150
0.608,-0.165
0.611,-0.175
0.614,-0.165
0.617,-0.165
0.619,-0.160
0.622,-0.160
0.625,-0.180
0.628,-0.175
0.631,-0.185
0.633,-0.165
0.636,-0.150
0.639,-0.150
0.642,-0.170
0.644,-0.185
0.647,-0.195
0.650,-0.190
0.653,-0.190
0.656,-0.185
0.658,-0.190
0.661,-0.210
0.664,-0.195
0.667,-0.190
0.669,-0.180
0.672,-0.205
0.675,-0.215
0.678,-0.225
0.681,-0.210
0.683,-0.205
0.686,-0.195
0.689,-0.200
0.692,-0.195
0.694,-0.210
0.697,-0.215
0.700,-0.205
0.703,-0.185
0.706,-0.195
0.708,-0.195
0.711,-0.220
0.714,-0.220
0.717,-0.210
0.719,-0.215
0.722,-0.220
0.725,-0.220
0.728,-0.225
0.731,-0.210
0.733,-0.200
0.736,-0.210
0.739,-0.225
0.742,-0.230
0.744,-0.225
0.747,-0.220
0.750,-0.230
0.753,-0.210
0.756,-0.215
0.758,-0.215
0.761,-0.230
0.764,-0.215
0.767,-0.220
0.769,-0.205
0.772,-0.205
0.775,-0.210
0.778,-0.215
0.781,-0.225
0.783,-0.215
0.786,-0.215
0.789,-0.215
0.792,-0.225
0.794,-0.225
0.797,-0.225
0.800,-0.205
0.803,-0.195
0.806,-0.210
0.808,-0.210
0.811,-0.215
0.814,-0.235
0.817,-0.230
0.819,-0.220
0.822,-0.220
0.825,-0.230
0.828,-0.225
0.831,-0.230
0.833,-0.215
0.836,-0.195
0.839,-0.195
0.842,-0.190
0.844,-0.200
0.847,-0.195
0.850,-0.180
0.853,-0.170
0.856,-0.180
0.858,-0.175
0.861,-0.195
0.864,-0.195
0.867,-0.170
0.869,-0.175
0.872,-0.175
0.875,-0.180
0.878,-0.185
0.881,-0.185
0.883,-0.175
0.886,-0.175
0.889,-0.175
0.892,-0.190
0.894,-0.205
0.897,-0.200
0.900,-0.205
0.903,-0.205
0.906,-0.215
0.908,-0.215
0.911,-0.225
0.914,-0.215
0.917,-0.210
0.919,-0.200
0.922,-0.215
0.925,-0.225
0.928,-0.245
0.931,-0.245
0.933,-0.250
0.936,-0.225
0.939,-0.230
0.942,-0.235
0.944,-0.240
0.947,-0.235
0.950,-0.235
0.953,-0.220
0.956,-0.230
0.958,-0.240
0.961,-0.240
0.964,-0.245
0.967,-0.225
0.969,-0.225
0.972,-0.235
0.975,-0.250
0.978,-0.270
0.981,-0.280
0.983,-0.290
0.986,-0.300
0.989,-0.330
0.992,-0.360
0.994,-0.355
0.997,-0.305
1.000,-0.205
1.003,-0.080
1.006,0.015
1.008,0.065
1.011,0.115
1.014,0.190
1.017,0.300
1.019,0.410
1.022,0.495
1.025,0.485
1.028,0.360
1.031,0.105
1.033,-0.165
1.036,-0.350
1.039,-0.450
1.042,-0.470
1.044,-0.450
1.047,-0.395
1.050,-0.345
1.053,-0.310
1.056,-0.295
1.058,-0.285
1.061,-0.295
1.064,-0.295
1.067,-0.280
1.069,-0.285
1.072,-0.285
1.075,-0.285
1.078,-0.290
1.081,-0.275
1.083,-0.275
1.086,-0.275
1.089,-0.270
1.092,-0.285
1.094,-0.295
1.097,-0.290
1.100,-0.275
1.103,-0.265
1.106,-0.265
1.108,-0.275
1.111,-0.295
1.114,-0.290
1.117,-0.285
1.119,-0.270
1.122,-0.265
1.125,-0.275
1.128,-0.280
1.131,-0.280
1.133,-0.270
1.136,-0.265
1.139,-0.270
1.142,-0.270
1.144,-0.280
1.147,-0.270
1.150,-0.265
1.153,-0.265
1.156,-0.265
1.158,-0.270
1.161,-0.285
1.164,-0.285
1.167,-0.265
1.169,-0.265
1.172,-0.255
1.175,-0.275
1.178,-0.275
1.181,-0.280
1.183,-0.270
1.186,-0.265
1.189,-0.275
1.192,-0.285
1.194,-0.280
1.197,-0.280
1.200,-0.275
1.203,-0.275
1.206,-0.275
1.208,-0.285
1.211,-0.295
1.214,-0.295
1.217,-0.275
1.219,-0.275
1.222,-0.285
1.225,-0.290
1.228,-0.315
1.231,-0.315
1.233,-0.305
1.236,-0.290
1.239,-0.310
1.242,-0.320
1.244,-0.320
1.247,-0.335
1.250,-0.330
1.253,-0.325
1.256,-0.345
1.258,-0.350
1.261,-0.365
1.264,-0.370
1.267,-0.355
1.269,-0.360
1.272,-0.370
1.275,-0.390
1.278,-0.395
1.281,-0.400
1.283,-0.390
1.286,-0.385
1.289,-0.390
1.292,-0.400
1.294,-0.410
1.297,-0.420
1.300,-0.405
1.303,-0.410
1.306,-0.410
1.308,-0.400
1.311,-0.405
1.314,-0.390
1.317,-0.385
1.319,-0.365
1.322,-0.355
1.325,-0.345
1.328,-0.355
1.331,-0.330
1.333,-0.295
1.336,-0.275
1.339,-0.270
1.342,-0.260
1.344,-0.265
1.347,-0.265
1.350,-0.245
1.353,-0.225
1.356,-0.210
1.358,-0.215
1.361,-0.215
1.364,-0.205
1.367,-0.195
1.369,-0.185
1.372,-0.185
1.375,-0.195
1.378,-0.195
1.381,-0.195
1.383,-0.185
1.386,-0.170
1.389,-0.185
1.392,-0.195
1.394,-0.195
1.397,-0.195
1.400,-0.185
1.403,-0.175
1.406,-0.175
1.408,-0.185
1.411,-0.195
1.414,-0.195
1.417,-0.195
1.419,-0.180
1.422,-0.185
1.425,-0.190
1.428,-0.195
1.431,-0.195
1.433,-0.190
1.436,-0.185
1.439,-0.185
1.442,-0.190
1.444,-0.200
1.447,-0.215
1.450,-0.195
1.453,-0.185
1.456,-0.185
1.458,-0.185
1.461,-0.200
1.464,-0.205
1.467,-0.190
1.469,-0.190
1.472,-0.200
1.475,-0.200
1.478,-0.195
1.481,-0.220
1.483,-0.205
1.486,-0.190
1.489,-0.200
1.492,-0.220
1.494,-0.230
1.497,-0.210
1.500,-0.205
1.503,-0.200
1.506,-0.195
1.508,-0.220
1.511,-0.225
1.514,-0.225
1.517,-0.215
1.519,-0.205
1.522,-0.205
1.525,-0.215
1.528,-0.225
1.531,-0.220
1.533,-0.225
1.536,-0.195
1.539,-0.215
1.542,-0.220
1.544,-0.215
1.547,-0.225
1.550,-0.215
1.553,-0.210
1.556,-0.210
1.558,-0.225
1.561,-0.230
1.564,-0.220
1.567,-0.210
1.569,-0.205
1.572,-0.200
1.575,-0.205
1.578,-0.220
1.581,-0.230
1.583,-0.215
1.586,-0.205
1.589,-0.200
1.592,-0.230
1.594,-0.220
1.597,-0.215
1.600,-0.205
1.603,-0.200
1.606,-0.205
1.608,-0.220
1.611,-0.220
1.614,-0.225
1.617,-0.205
1.619,-0.200
1.622,-0.200
1.625,-0.210
1.628,-0.230
1.631,-0.215
1.633,-0.200
1.636,-0.200
1.639,-0.205
1.642,-0.210
1.644,-0.215
1.647,-0.220
1.650,-0.205
1.653,-0.200
1.656,-0.195
1.658,-0.205
1.661,-0.205
1.664,-0.205
1.667,-0.180
1.669,-0.170
1.672,-0.190
1.675,-0.190
1.678,-0.200
1.681,-0.185
1.683,-0.165
1.686,-0.145
1.689,-0.145
1.692,-0.170
1.694,-0.175
1.697,-0.170
1.700,-0.165
1.703,-0.150
1.706,-0.160
1.708,-0.175
1.711,-0.190
1.714,-0.190
1.717,-0.185
1.719,-0.185
1.722,-0.175
1.725,-0.195
1.728,-0.215
1.731,-0.205
1.733,-0.200
1.736,-0.195
1.739,-0.205
1.742,-0.210
1.744,-0.220
1.747,-0.215
1.750,-0.210
1.753,-0.205
1.756,-0.200
1.758,-0.210
1.761,-0.220
1.764,-0.220
1.767,-0.220
1.769,-0.200
1.772,-0.205
1.775,-0.215
1.778,-0.225
1.781,-0.220
1.783,-0.215
1.786,-0.205
1.789,-0.220
1.792,-0.225
1.794,-0.240
1.797,-0.260
1.800,-0.280
1.803,-0.300
1.806,-0.345
1.808,-0.375
1.811,-0.345
1.814,-0.260
1.817,-0.125
1.819,0.025
1.822,0.145
1.825,0.260
1.828,0.375
1.831,0.505
1.833,0.635
1.836,0.705
1.839,0.610
1.842,0.320
1.844,-0.045
1.847,-0.250
1.850,-0.270
1.853,-0.240
1.856,-0.240
1.858,-0.250
1.861,-0.255
1.864,-0.245
1.867,-0.245
1.869,-0.245
1.872,-0.255
1.875,-0.260
1.878,-0.260
1.881,-0.270
1.883,-0.245
1.886,-0.245
1.889,-0.250
1.892,-0.265
1.894,-0.270
1.897,-0.270
1.900,-0.265
1.903,-0.260
1.906,-0.260
1.908,-0.270
1.911,-0.280
1.914,-0.280
1.917,-0.270
1.919,-0.255
1.922,-0.265
1.925,-0.280
1.928,-0.290
1.931,-0.275
1.933,-0.265
1.936,-0.255
1.939,-0.260
1.942,-0.260
1.944,-0.280
1.947,-0.280
1.950,-0.265
1.953,-0.260
1.956,-0.255
1.958,-0.260
1.961,-0.275
1.964,-0.270
1.967,-0.275
1.969,-0.265
1.972,-0.265
1.975,-0.270
1.978,-0.280
1.981,-0.285
1.983,-0.280
1.986,-0.255
1.989,-0.270
1.992,-0.280
1.994,-0.290
1.997,-0.290
2.000,-0.270
2.003,-0.270
2.006,-0.285
2.008,-0.300
2.011,-0.300
2.014,-0.300
2.017,-0.295
2.019,-0.275
2.022,-0.295
2.025,-0.300
2.028,-0.310
2.031,-0.310
2.033,-0.315
2.036,-0.310
2.039,-0.310
2.042,-0.335
2.044,-0.345
2.047,-0.355
2.050,-0.350
2.053,-0.345
2.056,-0.360
2.058,-0.370
2.061,-0.375
2.064,-0.385
2.067,-0.370
2.069,-0.370
2.072,-0.385
2.075,-0.400
2.078,-0.415
2.081,-0.405
2.083,-0.410
2.086,-0.390
2.089,-0.405
2.092,-0.410
2.094,-0.425
2.097,-0.420
2.100,-0.410
2.103,-0.405
2.106,-0.400
2.108,-0.400
2.111,-0.405
2.114,-0.385
2.117,-0.365
2.119,-0.345
2.122,-0.335
2.125,-0.325
2.128,-0.310
2.131,-0.295
2.133,-0.275
2.136,-0.255
2.139,-0.250
2.142,-0.240
2.144,-0.245
2.147,-0.230
2.150,-0.205
2.153,-0.200
2.156,-0.200
2.158,-0.205
2.161,-0.210
2.164,-0.220
2.167,-0.195
2.169,-0.190
2.172,-0.200
2.175,-0.200
2.178,-0.210
2.181,-0.200
2.183,-0.190
2.186,-0.175
2.189,-0.200
2.192,-0.205
2.194,-0.210
2.197,-0.200
2.200,-0.200
2.203,-0.180
2.206,-0.190
2.208,-0.190
2.211,-0.205
2.214,-0.205
2.217,-0.195
2.219,-0.185
2.222,-0.190
2.225,-0.190
2.228,-0.210
2.231,-0.210
2.233,-0.205
2.236,-0.205
2.239,-0.200
2.242,-0.215
2.244,-0.225
2.247,-0.210
2.250,-0.210
2.253,-0.210
2.256,-0.215
2.258,-0.225
2.261,-0.225
2.264,-0.230
2.267,-0.210
2.269,-0.210
2.272,-0.230
2.275,-0.250
2.278,-0.250
2.281,-0.245
2.283,-0.230
2.286,-0.215
2.289,-0.230
2.292,-0.240
2.294,-0.245
2.297,-0.245
2.300,-0.240
2.303,-0.215
2.306,-0.225
2.308,-0.240
2.311,-0.240
2.314,-0.245
2.317,-0.240
2.319,-0.230
2.322,-0.235
2.325,-0.240
2.328,-0.230
2.331,-0.250
2.333,-0.225
2.336,-0.215
2.339,-0.230
2.342,-0.240
2.344,-0.250
2.347,-0.265
2.350,-0.230
2.353,-0.220
2.356,-0.235
2.358,-0.225
2.361,-0.235
2.364,-0.235
2.367,-0.225
2.369,-0.225
2.372,-0.215
2.375,-0.225
2.378,-0.235
2.381,-0.230
2.383,-0.225
2.386,-0.225
2.389,-0.225
2.392,-0.225
2.394,-0.230
2.397,-0.230
2.400,-0.215
2.403,-0.210
2.406,-0.225
2.408,-0.240
2.411,-0.235
2.414,-0.240
2.417,-0.225
2.419,-0.215
2.422,-0.220
2.425,-0.220
2.428,-0.230
2.431,-0.230
2.433,-0.205
2.436,-0.200
2.439,-0.205
2.442,-0.195
2.444,-0.210
2.447,-0.205
2.450,-0.190
2.453,-0.185
2.456,-0.200
2.458,-0.195
2.461,-0.200
2.464,-0.190
2.467,-0.170
2.469,-0.140
2.472,-0.165
2.475,-0.165
2.478,-0.185
2.481,-0.180
2.483,-0.170
2.486,-0.150
2.489,-0.165
2.492,-0.180
2.494,-0.200
2.497,-0.210
2.500,-0.210
2.503,-0.185
2.506,-0.190
2.508,-0.200
2.511,-0.215
2.514,-0.220
2.517,-0.210
2.519,-0.195
2.522,-0.205
2.525,-0.220
2.528,-0.225
2.531,-0.230
2.533,-0.220
2.536,-0.210
2.539,-0.210
2.542,-0.230
2.544,-0.235
2.547,-0.230
2.550,-0.225
2.553,-0.215
2.556,-0.220
2.558,-0.220
2.561,-0.230
2.564,-0.240
2.567,-0.220
2.569,-0.225
2.572,-0.235
2.575,-0.250
2.578,-0.280
2.581,-0.305
2.583,-0.325
2.586,-0.345
2.589,-0.375
2.592,-0.415
2.594,-0.425
2.597,-0.385
2.600,-0.295
2.603,-0.180
2.606,-0.065
2.608,0.035
2.611,0.130
2.614,0.240
2.617,0.370
2.619,0.495
2.622,0.610
2.625,0.655
2.628,0.545
2.631,0.230
2.633,-0.105
2.636,-0.280
2.639,-0.285
2.642,-0.255
2.644,-0.255
2.647,-0.260
2.650,-0.230
2.653,-0.220
2.656,-0.245
2.658,-0.255
2.661,-0.260
2.664,-0.250
2.667,-0.235
2.669,-0.245
2.672,-0.245
2.675,-0.260
2.678,-0.265
2.681,-0.265
2.683,-0.260
2.686,-0.240
2.689,-0.245
2.692,-0.260
2.694,-0.270
2.697,-0.270
2.700,-0.255
2.703,-0.255
2.706,-0.250
2.708,-0.265
2.711,-0.270
2.714,-0.270
2.717,-0.265
2.719,-0.250
2.722,-0.245
2.725,-0.265
2.728,-0.270
2.731,-0.260
2.733,-0.255
2.736,-0.245
2.739,-0.250
2.742,-0.260
2.744,-0.270
2.747,-0.260
2.750,-0.255
2.753,-0.250
2.756,-0.255
2.758,-0.255
2.761,-0.275
2.764,-0.270
2.767,-0.265
2.769,-0.260
2.772,-0.260
2.775,-0.275
2.778,-0.270
2.781,-0.260
2.783,-0.245
2.786,-0.255
2.789,-0.265
2.792,-0.265
2.794,-0.270
2.797,-0.265
2.800,-0.260
2.803,-0.270
2.806,-0.265
2.808,-0.270
2.811,-0.280
2.814,-0.285
2.817,-0.280
2.819,-0.285
2.822,-0.290
2.825,-0.310
2.828,-0.305
2.831,-0.300
2.833,-0.300
2.836,-0.310
2.839,-0.325
2.842,-0.340
2.844,-0.340
2.847,-0.325
2.850,-0.320
2.853,-0.355
2.856,-0.360
2.858,-0.380
2.861,-0.385
2.864,-0.375
2.867,-0.365
2.869,-0.375
2.872,-0.385
2.875,-0.390
2.878,-0.395
2.881,-0.385
2.883,-0.375
2.886,-0.375
2.889,-0.375
2.892,-0.380
2.894,-0.365
2.897,-0.345
2.900,-0.335
2.903,-0.315
2.906,-0.310
2.908,-0.305
2.911,-0.290
2.914,-0.270
2.917,-0.255
2.919,-0.250
2.922,-0.245
2.925,-0.235
2.928,-0.235
2.931,-0.225
2.933,-0.220
2.936,-0.195
2.939,-0.215
2.942,-0.230
2.944,-0.215
2.947,-0.205
2.950,-0.195
2.953,-0.200
2.956,-0.195
2.958,-0.195
2.961,-0.205
2.964,-0.195
2.967,-0.180
2.969,-0.190
2.972,-0.205
2.975,-0.210
2.978,-0.205
2.981,-0.180
2.983,-0.185
2.986,-0.190
2.989,-0.205
2.992,-0.215
2.994,-0.215
2.997,-0.215
3.000,-0.190
3.003,-0.210
3.006,-0.200
3.008,-0.215
3.011,-0.220
3.014,-0.225
3.017,-0.215
3.019,-0.215
3.022,-0.230
3.025,-0.225
3.028,-0.225
3.031,-0.210
3.033,-0.210
3.036,-0.215
3.039,-0.230
3.042,-0.235
3.044,-0.230
3.047,-0.220
3.050,-0.215
3.053,-0.230
3.056,-0.235
3.058,-0.250
3.061,-0.245
3.064,-0.240
3.067,-0.220
3.069,-0.230
3.072,-0.230
3.075,-0.235
3.078,-0.240
3.081,-0.235
3.083,-0.220
3.086,-0.230
3.089,-0.240
3.092,-0.255
3.094,-0.245
3.097,-0.235
3.100,-0.220
3.103,-0.230
3.106,-0.240
3.108,-0.250
3.111,-0.255
3.114,-0.240
3.117,-0.225
3.119,-0.230
3.122,-0.235
3.125,-0.240
3.128,-0.245
3.131,-0.235
3.133,-0.230
3.136,-0.235
3.139,-0.240
3.142,-0.245
3.144,-0.235
3.147,-0.235
3.150,-0.230
3.153,-0.240
3.156,-0.235
3.158,-0.245
3.161,-0.250
3.164,-0.230
3.167,-0.210
3.169,-0.230
3.172,-0.235
3.175,-0.245
3.178,-0.250
3.181,-0.245
3.183,-0.230
3.186,-0.230
3.189,-0.235
3.192,-0.250
3.194,-0.250
3.197,-0.240
3.200,-0.225
3.203,-0.230
3.206,-0.235
3.208,-0.240
3.211,-0.245
3.214,-0.240
3.217,-0.225
3.219,-0.225
3.222,-0.230
3.225,-0.230
3.228,-0.225
3.231,-0.205
3.233,-0.210
3.236,-0.220
3.239,-0.205
3.242,-0.220
3.244,-0.220
3.247,-0.210
3.250,-0.190
3.253,-0.180
3.256,-0.180
3.258,-0.185
3.261,-0.190
3.264,-0.190
3.267,-0.185
3.269,-0.205
3.272,-0.200
3.275,-0.220
3.278,-0.220
3.281,-0.220
3.283,-0.210
3.286,-0.225
3.289,-0.220
3.292,-0.240
3.294,-0.245
3.297,-0.235
3.300,-0.230
3.303,-0.245
3.306,-0.245
3.308,-0.250
3.311,-0.255
3.314,-0.230
3.317,-0.225
3.319,-0.230
3.322,-0.245
3.325,-0.255
3.328,-0.265
3.331,-0.255
3.333,-0.245
3.336,-0.260
3.339,-0.250
3.342,-0.260
3.344,-0.270
3.347,-0.240
3.350,-0.245
3.353,-0.250
3.356,-0.250
3.358,-0.250
3.361,-0.265
3.364,-0.255
3.367,-0.245
3.369,-0.255
3.372,-0.265
3.375,-0.280
3.378,-0.305
3.381,-0.320
3.383,-0.350
3.386,-0.380
3.389,-0.390
3.392,-0.345
3.394,-0.240
3.397,-0.110
3.400,-0.020
3.403,0.040
3.406,0.110
3.408,0.220
3.411,0.350
3.414,0.440
3.417,0.395
3.419,0.155
3.422,-0.170
3.425,-0.380
3.428,-0.410
3.431,-0.355
3.433,-0.320
3.436,-0.305
3.439,-0.300
3.442,-0.295
3.444,-0.295
3.447,-0.285
3.450,-0.300
3.453,-0.310
3.456,-0.305
3.458,-0.305
3.461,-0.295
3.464,-0.270
3.467,-0.270
3.469,-0.285
3.472,-0.305
3.475,-0.310
3.478,-0.300
3.481,-0.290
3.483,-0.275
3.486,-0.285
3.489,-0.285
3.492,-0.305
3.494,-0.290
3.497,-0.290
3.500,-0.285
3.503,-0.285
3.506,-0.290
3.508,-0.300
3.511,-0.295
3.514,-0.285
3.517,-0.275
3.519,-0.290
3.522,-0.295
3.525,-0.275
3.528,-0.285
3.531,-0.285
3.533,-0.260
3.536,-0.270
3.539,-0.265
3.542,-0.285
3.544,-0.290
3.547,-0.295
3.550,-0.280
3.553,-0.290
3.556,-0.295
3.558,-0.300
3.561,-0.310
3.564,-0.305
3.567,-0.295
3.569,-0.300
3.572,-0.280
3.575,-0.290
3.578,-0.305
3.581,-0.290
3.583,-0.285
3.586,-0.305
3.589,-0.310
3.592,-0.315
3.594,-0.305
3.597,-0.295
3.600,-0.290
3.603,-0.295
3.606,-0.300
3.608,-0.305
3.611,-0.325
3.614,-0.310
3.617,-0.300
3.619,-0.310
3.622,-0.335
3.625,-0.340
3.628,-0.350
3.631,-0.355
3.633,-0.340
3.636,-0.350
3.639,-0.365
3.642,-0.380
3.644,-0.400
3.647,-0.385
3.650,-0.380
3.653,-0.390
3.656,-0.400
3.658,-0.405
3.661,-0.405
3.664,-0.405
3.667,-0.415
3.669,-0.415
3.672,-0.420
3.675,-0.415
3.678,-0.425
3.681,-0.410
3.683,-0.395
3.686,-0.385
3.689,-0.405
3.692,-0.395
3.694,-0.395
3.697,-0.375
3.700,-0.370
3.703,-0.375
3.706,-0.375
3.708,-0.370
3.711,-0.360
3.714,-0.345
3.717,-0.320
3.719,-0.305
3.722,-0.305
3.725,-0.300
3.728,-0.285
3.731,-0.275
3.733,-0.260
3.736,-0.245
3.739,-0.245
3.742,-0.250
3.744,-0.255
3.747,-0.245
3.750,-0.230
3.753,-0.235
3.756,-0.245
3.758,-0.255
3.761,-0.255
3.764,-0.225
3.767,-0.230
3.769,-0.235
3.772,-0.240
3.775,-0.250
3.778,-0.245
3.781,-0.225
3.783,-0.215
3.786,-0.220
3.789,-0.240
3.792,-0.250
3.794,-0.255
3.797,-0.245
3.800,-0.240
3.803,-0.235
3.806,-0.245
3.808,-0.255
3.811,-0.250
3.814,-0.235
3.817,-0.230
3.819,-0.250
3.822,-0.260
3.825,-0.275
3.828,-0.280
3.831,-0.275
3.833,-0.260
3.836,-0.270
3.839,-0.255
3.842,-0.265
3.844,-0.255
3.847,-0.265
3.850,-0.260
3.853,-0.265
3.856,-0.265
3.858,-0.275
3.861,-0.270
3.864,-0.265
3.867,-0.255
3.869,-0.255
3.872,-0.265
3.875,-0.275
3.878,-0.290
3.881,-0.275
3.883,-0.260
3.886,-0.270
3.889,-0.265
3.892,-0.270
3.894,-0.265
3.897,-0.265
3.900,-0.250
3.903,-0.265
3.906,-0.265
3.908,-0.270
3.911,-0.270
3.914,-0.265
3.917,-0.255
3.919,-0.260
3.922,-0.255
3.925,-0.270
3.928,-0.270
3.931,-0.285
3.933,-0.265
3.936,-0.260
3.939,-0.265
3.942,-0.270
3.944,-0.265
3.947,-0.260
3.950,-0.250
3.953,-0.265
3.956,-0.265
3.958,-0.270
3.961,-0.265
3.964,-0.255
3.967,-0.245
3.969,-0.255
3.972,-0.275
3.975,-0.275
3.978,-0.275
3.981,-0.255
3.983,-0.255
3.986,-0.260
3.989,-0.265
3.992,-0.285
3.994,-0.280
3.997,-0.265
4.000,-0.260
4.003,-0.255
4.006,-0.250
4.008,-0.255
4.011,-0.250
4.014,-0.240
4.017,-0.230
4.019,-0.235
4.022,-0.225
4.025,-0.235
4.028,-0.240
4.031,-0.225
4.033,-0.215
4.036,-0.235
4.039,-0.230
4.042,-0.225
4.044,-0.215
4.047,-0.205
4.050,-0.200
4.053,-0.210
4.056,-0.225
4.058,-0.230
4.061,-0.225
4.064,-0.215
4.067,-0.210
4.069,-0.235
4.072,-0.240
4.075,-0.255
4.078,-0.245
4.081,-0.235
4.083,-0.230
4.086,-0.235
4.089,-0.245
4.092,-0.270
4.094,-0.260
4.097,-0.250
4.100,-0.240
4.103,-0.240
4.106,-0.255
4.108,-0.260
4.111,-0.265
4.114,-0.255
4.117,-0.245
4.119,-0.245
4.122,-0.260
4.125,-0.255
4.128,-0.260
4.131,-0.255
4.133,-0.240
4.136,-0.240
4.139,-0.260
4.142,-0.260
4.144,-0.250
4.147,-0.240
4.150,-0.235
4.153,-0.240
4.156,-0.255
4.158,-0.270
4.161,-0.285
4.164,-0.290
4.167,-0.310
4.169,-0.330
4.172,-0.365
4.175,-0.370
4.178,-0.350
4.181,-0.260
4.183,-0.135
4.186,-0.020
4.189,0.035
4.192,0.095
4.194,0.185
4.197,0.315
4.200,0.450
4.203,0.515
4.206,0.450
4.208,0.175
4.211,-0.180
4.214,-0.385
4.217,-0.395
4.219,-0.345
4.222,-0.310
4.225,-0.290
4.228,-0.275
4.231,-0.265
4.233,-0.235
4.236,-0.250
4.239,-0.265
4.242,-0.255
4.244,-0.245
4.247,-0.240
4.250,-0.240
4.253,-0.250
4.256,-0.260
4.258,-0.265
4.261,-0.275
4.264,-0.255
4.267,-0.240
4.269,-0.245
4.272,-0.260
4.275,-0.260
4.278,-0.265
4.281,-0.250
4.283,-0.250
4.286,-0.245
4.289,-0.250
4.292,-0.265
4.294,-0.255
4.297,-0.250
4.300,-0.245
4.303,-0.245
4.306,-0.255
4.308,-0.260
4.311,-0.250
4.314,-0.240
4.317,-0.215
4.319,-0.230
4.322,-0.250
